英文名稱,中文名稱,生歿年,國籍,專長
"Bakaleinikov, Vladimir","巴卡雷尼科夫,弗拉迪米爾",1885-1953,美國,指揮；中提琴
"Baker, Janet","貝克,珍妮特",1933-,英國,聲樂
"Baker, Julius","貝克,朱利斯",1915-2003,美國,長笛
"Baker, Theodore","貝克,狄奧多爾",1851-1934,美國,音樂學
"Baksa, Robert",巴克薩,1938-,美國,作曲
"Bakst, Ryszard",巴克斯特,1926-,波蘭,鋼琴
"Balada, Leonardo",巴拉達,1933-,西班牙,作曲
"Balakirev, Mily Alexeyevich",巴拉基列夫,1837-1910,俄國,鋼琴；作曲
"Balanchivadze, Andry",巴蘭奇瓦茲,1906-,俄國,作曲
"Balart, Gabriel",巴拉爾,1824-1893,西班牙,小提琴；作曲
"Balbastre, Claude-Benigne",巴巴斯特爾,1727-1799,法國,作曲
"Balbulus, Notker",巴布魯斯　,840-912,瑞士,作曲
"Baldissera, Livio",巴爾迪瑟拉,1947-,義大利,作曲
"Baldwin, Dalton",包德溫,1931-,美國,鋼琴
"Balfe, Michael William",巴爾佛,1808-1870,愛爾蘭,作曲
"Balkwill, Bryan",巴克威爾,1922-2007,英國,指揮
"Ball, Derek","波爾,德瑞克",1949-,英國,作曲
"Ball, Eric","波爾,艾瑞克",1903-1989,英國,作曲；指揮
"Ball, Ernest R.","波爾,厄內斯特",1878-1927,美國,通俗音樂
"Ball, Michael","波爾,麥可",1946-,英國,作曲
"Ballif, Claude",巴利夫,1924-2004,法國,作曲
"Balling, Michael",巴林,1866-1925,德國,指揮
"Balmer, Luc",巴爾梅,1898-1996,俄國,指揮；作曲
"Balsam, Artur",巴爾薩姆,1906-1994,波蘭,鋼琴
"Bamberger, Carl",班貝格爾,1902-1987,美國,指揮；教育
"Bamboschek, Giuseppe",班伯斯凱克,1890-1969,義大利,指揮
"Bampton, Rose",班普頓,1908-2007,美國,聲樂
"Banchieri, Adriano",班凱利,1568-1634,義大利,作曲
"Banfield, Raffaello de",班費爾德,1922-2008,義大利,作曲
"Banjamin, George","班傑民,喬治",1960-,英國,作曲
"Bank, Jacques",班克,1943-,荷蘭,作曲
"Banks, Don",班克斯,1923-1980,澳大利亞,長號；作曲
"Banshchikov, Gennady",班希奇科夫,1943-,俄國,作曲
"Banti-Giorgi, Brigida",班蒂,1757-1806,義大利,聲樂
"Bantock, Granville",班托克,1868-1946,英國,作曲
"Barati, George",巴拉悌,1913-1996,匈牙利,作曲
"Baratta, Mar?a de",巴臘達,1890-1978,薩爾瓦多,作曲
"Barber, Chris","巴伯,克里斯",1930-,英國,爵士樂長號
"Barber, Samuel","巴伯,撒姆爾",1910-1981,美國,作曲
"Barbieri, Fedora","巴爾別里,費朵拉",1919-2003,義大利,聲樂
"Barbieri, Francisco","巴爾別里,弗朗西斯科",1823-1894,西班牙,作曲
"Barbieri-Nini, Marianna",巴爾別里－妮妮,1820-1887,義大利,聲樂
"Barbirolli, Evelyn","巴比羅利,艾維林",1911-2008,英國,雙簧管
"Barbirolli, John","巴比羅利,約翰",1899-1970,英國,大提琴；指揮
"Barbosa, Antonio",巴爾伯薩,1943-,巴西,鋼琴
"Barboteu, Georges",巴伯特,1924-,法國,法國號
"Barce, Ramon",巴爾塞,1928-,西班牙,作曲
"Bardi, Giovanni de'",巴爾迪,1534-1612,義大利,作曲
"B?rdos, Lajos",巴多斯,1899-1986,匈牙利,作曲
"Bardwell, William",巴德威爾,1915-1994,英國,作曲
"Barenboim, Daniel",巴倫波因,1942-,以色列,鋼琴；指揮
"Bargiel, Woldemar",巴爾基,1828-1897,德國,作曲
"Bargielski, Zbigniew",巴格耶斯基,1937-,波蘭,作曲
"Barie, Augustin",巴利,1883-1915,法國,作曲
"Barker, John","巴克爾,約翰",1931-,英國,指揮
"Barker, Warren","巴克爾,華倫",1923-,美國,作曲
"Barletta, Alejandro",巴爾列達,1925-2008,阿根廷,作曲
"Barlow, Alan","巴洛,艾倫",1927-,美國,指揮
"Barlow, Clarence","巴洛,克拉倫斯",1945-,印度,作曲
"Barlow, David","巴洛,大衛",1927-1975,美國,作曲
"Barlow, Fred","巴洛,弗萊德",1881-1951,法國,作曲
"Barlow, Howard","巴洛,霍華德",1912-1972,美國,指揮
"Barlow, Samuel L.M.","巴洛,撒姆爾",1892-1982,美國,作曲；鋼琴
"Barlow, Wayne","巴洛,韋恩",1912-1996,美國,作曲
"Barmann, Carl","巴爾曼,卡爾",1811-1885,德國,單簧管；作曲
"B?rmann, Heinrich","貝爾曼,海因利希",1784-1847,德國,單簧管
"Barnab?, Arrigo",巴納貝,1951-,巴西,作曲
"Barnard, Keith",巴納德,1950-,英國,作曲
"Barnby, Joseph",班比,1838-1896,英國,作曲；指揮；管風琴
"Barnett, John Francis","巴內特,約翰‧弗朗西斯",1837-1916,英國,作曲；鋼琴
