英文名稱,中文名稱,生歿年,國籍,專長
"Frensel Wegener, Emmy","弗蓮瑟‧維格納,艾美",1901-1973,荷蘭,作曲
"Frensel Wegener-Koopman, Bertha","弗蓮瑟‧維格納－庫普曼,貝塔",1874-1953,荷蘭,作曲
"Freschi, Giovanni Domenico",弗雷斯基,1640-1690,義大利,作曲
"Frescobaldi, Girolamo",弗雷斯科巴第,1583-1643,義大利,管風琴；作曲
"Fretwell, Elizabeth",弗瑞翠,1922-,澳大利亞,聲樂
"Freund, Marya",弗洛茵特,1876-1966,波蘭,聲樂
"Frick, Gottlob",弗利克,1906-1994,德國,聲樂
"Fricker, Peter Racine",弗利可,1920-1990,英國,作曲
"Fricsay, Ferenc",弗利卻,1914-1963,匈牙利,指揮
"Frid, Geza","弗利德,蓋札",1904-1989,荷蘭,作曲；鋼琴家
"Fried, Oskar",弗利特,1871-1941,德國,指揮；作曲
"Fried, Philip","弗利德,菲利普",1955-,美國,作曲
"Friedheim, Arthur",弗利德海姆,1859-1932,德國,鋼琴
"Friedman, Ignaz",弗利德曼,1882-1948,波蘭,鋼琴
"Friedrich II, der Grosse (the Great)",腓特列,1712-1786,德國,作曲；長笛
"Friend, Rodney",弗蘭德,1939-,英國,小提琴
"Friml, Rudolf",弗里摩爾,1879-1972,美國,鋼琴；作曲
"Friskin, James",弗利斯金,1886-1967,英國（蘇格蘭）,鋼琴
"Frith, Fred",弗利斯,1949-,英國,作曲
"Froberger, Johann Jocub",弗羅貝格爾,1616-1667,德國,作曲；管風琴
"Froom, David",弗如姆,1951-,美國,作曲
"Fr?hbeck de Burgos, Rafael",弗呂貝克德布果斯,1933-,西班牙,指揮
"Frumerie, Gunnar de",富魯梅利,1908-1987,瑞典,作曲
"Fry, William Henry",弗萊,1813-1864,美國,作曲
"Frye, Walter",弗萊伊,14??-1475 (?),英國,作曲
"Fryer, Herbert",弗萊爾,1877-1957,英國,鋼琴
"Fuchs, Carl","傅克斯,卡爾",1838-1922,德國,音樂學
"Fuchs, Georg Friedrich","傅克斯,喬治",1752-1821,法國,作曲
"Fuchs, Johann Nepomuk","傅克斯,約翰",1842-1899,奧地利,作曲；指揮
"Fuchs, Joseph","傅克斯,約瑟夫",1900-1997,美國,小提琴
"Fuchs, Peter Paul","傅克斯,彼得",1916-,奧地利,指揮
"Fuchs, Robert","傅克斯,羅伯特",1847-1927,奧地利,作曲
"Fuchsova, Liza",傅克斯歐娃,1913-1977,捷克,鋼琴
"Fuenllana, Miguel de",富恩亞納,1500-1579,西班牙,作曲
"Fujieda, Mamoru",藤枝守,1955-,日本,作曲
"Fujii, Kazuoki",藤井一興,1955-,日本,作曲
"Fujita, Masanori",藤田正典,1946-,日本,作曲
"Fukai, Shiro",深井史郎,1907-1959,日本,作曲
"Fukushima, Kazuo",福島和夫,1930-,日本,作曲
"Fuleihan, Anis",傅萊漢,1900-1970,美國,鋼琴；作曲
"Fuller Maitland, John Alexander",傅勒梅特蘭德,1856-1936,美國,鋼琴；著作
"Fuller, Donald",傅勒,1919-,美國,作曲
"Fulton, Norman",傅爾頓,1910-1980,英國,作曲
"Funk, Eric",范克,1949-,美國,作曲
"Furer, Arthur",傅爾,1924-,瑞士,作曲
"Furmedge, Edith",傅梅吉,1898-1956,英國,聲樂
"Furrer, Beat",傅雷爾,1954-,瑞士,作曲
"Furtw?ngler, Wilhelm",福特溫格勒,1886-1954,德國,指揮
"Fux, Johann Joseph",福克司,1660-1741,奧地利,作曲
"Gablenz, Jerzy",加布連茲,1888-1937,波蘭,作曲
"Gabriel-Marie, (Gabriel Prosper Marie)",加布里耶爾-馬利,1852-1928,法國,作曲
"Gabrieli, Andrea","加布里耶利,安德列亞",ca.1510-1586,義大利,管風琴；作曲
"Gabrieli, Giovanni","加布里耶利,喬望尼",ca.1557-1612,義大利,管風琴；作曲
"Gabrielli, Domenico","加布里耶利,多門尼可",1651-1690,義大利,作曲；大提琴
"Gabrilovitsch(Gabrilowotsch), Ossip",加里洛維奇,1878-1936,俄國,鋼琴；作曲；指揮
"Gade, Niels Vilhelm",加德,1817-1890,丹麥,作曲；管風琴；小提琴
"Gadsby, Henry Robert",加茲比,1842-1907,英國,作曲
"Gadski, Johanna",加德絲基,1872-1932,德國,聲樂
"Gagliano, Marco da",加利亞諾,1582-1643,義大利,作曲
"Gaito, Constantino",加伊多,1878-1945,阿根廷,作曲
"G?l, Hans",加爾,1890-1987,奧地利,音樂學；作曲
"Galindo Dimas, Blas",加林多,1910-1993,墨西哥,作曲
"Gallagher, Jack",加拉格爾,1947-,美國,作曲
"Galli-Curci, Amelita",加麗－庫契,1882-1963,義大利,聲樂
"Galli-Mari , Celestine Laurence",加麗－瑪莉,1840-1905,法國,聲樂
"Galliard, John Ernest",加利亞德,1680-1749,德國,作曲
"Galliera, Alceo",加利耶拉,1910-1996,義大利,指揮；作曲
"Gallus, Jacobus",加魯斯,1550-1591,斯洛維尼亞,作曲
"Galuppi, Baldassare",加魯比,1706-1785,義大利,作曲
"Galv?o, Joaquim",加爾旺,1967-,葡萄牙,作曲
"Galway, James",高威,1939-,愛爾蘭,長笛
"Galzunov, Alexander",葛拉祖諾夫,1965-1936,俄國,作曲
"Gandini, Gerardo",甘地尼,1936-,阿根廷,作曲
"Ganebin, Henri",加內班,1886-1977,瑞士,作曲
"Gannon, Lee",甘農,1960-1996,美國,作曲
"Ganz, Rudolf","甘茲,魯道夫",1877-1972,瑞士,鋼琴；作曲；指揮
"Ganz, Wilhelm","甘茲,威廉",1833-1914,德國,鋼琴；指揮
"Garaguly, Carl",加拉古利,1900-1984,瑞典,小提琴；指揮
"Garaguly, Carl",加拉古利,1900-1984,匈牙利,指揮；小提琴
"Garant, Serge",加朗,1929-1986,加拿大,作曲
"Garc?a Abril, Ant?n",加西亞‧阿布利爾,1933-,西班牙,作曲
"Garc?a Acevedo, Mario",加西亞‧阿謝維多,1926-,阿根廷,作曲
"Garc?a Mansilla, Eduardo",加西亞曼西亞,1870-1930,阿根廷,作曲
"Garc?a Morillo, Roberto",加西亞莫里悠,1911-2003,阿根廷,作曲
"Garcia, Jos? Maur?cio Nunes","加西亞,荷西",1767-1830,巴西,作曲
"Garcia, Manuel ( del Popolo Vicente Rodrguez )","加西亞,馬努耶爾",1775-1832,西班牙,作曲；聲樂
"Garcia, Manuel Patricio Rodriguez","加西亞,馬努耶爾‧帕特里西歐‧羅德里蓋斯",1835-1906,西班牙,聲樂
"Garcia-Viardot, Pauline",加西亞-維雅朵,1821-1910,法國,作曲
"Gardella, Tomaso",加爾代拉,1891-1997,義大利,作曲
"Gardelli, Lamberto",加爾代利,1915-1998,義大利,指揮；作曲
"Garden, Mary",加登,1874-1967,英國（蘇格蘭）,聲樂
"Gardiner, Balfour","加迪納,巴福",1877-1950,英國,作曲
"Gardiner, John Eliot","加迪納,約翰",1943-,英國,指揮
"Gardner, John Linton",加德納,1917-,英國,作曲；鋼琴
"Gardner, Samuel","加德納,撒姆爾",1891-1984,美國,小提琴；作曲
"Gardoni, Italo",加爾多尼,1821-1882,義大利,聲樂
"Gariboldi, Guiseppe",加里玻第,1833-1905,義大利,作曲
"Garland, Dora",加爾蘭德,1893-1972,英國,小提琴
"Garner, David",加納,1956-,美國,作曲
Garrison Mabel,加瑞森,1886-1963,美國,聲樂
"Gasparini, Francesco",加斯帕利尼,1668-1727,義大利,作曲
"Gassier, edouard",加謝爾,1820-1872,古巴,聲樂
"Gassmann, Florian Leopold",加斯曼,1729-1774,捷克,作曲
"Gastolidini, S",加斯托里地尼,1861-1939,義大利,作曲
"Gastou?, Am?d?e",加斯圖耶,1873-1943,法國,音樂學
"Gatti, Gabriella",加第,1908-2003,義大利,聲樂
"Gatti-Casazza, Giulio",加第－卡薩札,1869-1940,義大利,音樂經紀人
"Gatty, Nicholas",蓋提,1874-1946,英國,作曲
"Gaubert, Philippe",戈貝爾,1879-1941,法國,指揮；作曲
"Gaul, Alfred",高爾,1837-1913,英國,作曲
"Gauntlet, Ambrose","鞏特立,安布羅斯",1890-1978,英國,大提琴；中提琴
"Gauntlet, Henry John","鞏特立,亨利",1805-1876,英國,管風琴；作曲
"Gavazzeni, Gianandrea",加瓦策尼,1909-1996,義大利,作曲；指揮
"Gaveaux, Pierre",加沃,1760-1825,法國,作曲；聲樂
"Gavini?s, Pierre",加維尼葉斯,1728-1800,法國,小提琴；作曲
"Gay, John",蓋伊,1685-1732,英國,劇作
"Gay, Maria",加伊,1879-1943,西班牙,聲樂
"Gayarre, Juli?n",加亞瑞,1844-1890,西班牙,聲樂
"Gazelle, Marcel",加傑爾,1907-2006,法國,鋼琴
"G?dalge, Andr?",傑達爾吉,1856-1926,法國,作曲
"Gedda, Nicolai",蓋達,1925-,瑞典,聲樂
"Geddes, John Maxwell",蓋迪士,1941-,英國（蘇格蘭）,作曲
"Gedike, Alexander",戈地克,1877-1957,俄國,作曲
"Gees, Michael",蓋斯,1953-,德國,作曲
"Geiringer, Karl",蓋林格,1899-1989,美國,音樂學
"Gellhorn, Peter",蓋爾霍恩,1912-2004,德國,指揮；鋼琴；作曲
"Geloen, Ludo",蓋羅恩,1962-,比利時,作曲
"Gelt, Andrew",傑爾特,1951-,美國,作曲
"Geminiani, Francesco",傑米尼亞尼,1687-1762,義大利,小提琴；作曲
"Gemrot, Ji??",傑姆羅特,1957-,捷克,作曲
"Gendron, Maurice",冉德隆,1920-1990,法國,大提琴
"Genee, Richard",蓋內,1823-1895,德國,指揮；作曲
"Genin, Paul Agricole",熱南,1832-1903,法國,作曲
"Genzmer, Harald",耿茲莫,1909-2007,德國,作曲
"Geoffray, C?sar",傑歐弗雷,1901-1972,法國,作曲
"Geraedts, Jaap",傑萊特,1924-2003,荷蘭,作曲
"Gerardi, Enrique",黑拉迪,1926-,阿根廷,作曲
"Gerhard, Roberto",黑拉德,1896-1970,西班牙,作曲
"Gerhardt, Elena",蓋哈特,1883-1961,德國,聲樂
"Gericke, Wilhelm",蓋利克,1845-1925,奧地利,指揮
"German, Edward",傑爾曼,1862-1936,英國,作曲
"Germani, Fernando",傑爾馬尼,1906-1998,義大利,管風琴
"Gershwin, George",蓋希文,1898-1937,美國,作曲；鋼琴
"Gerster, Etelka",蓋絲特,1855-1920,匈牙利,聲樂
"Gertler, Andre",蓋特勒,1907-1998,匈牙利,小提琴
"Gervaise, Claude",傑爾維茲,1525-1560,法國,作曲
"Gervasio, Raffaele",傑瓦希歐,1910-1993,義大利,作曲
"Gervasoni, Stefano",傑瓦索尼,1962-,義大利,作曲
"Gesualdo, Carlo",傑蘇阿爾多,ca.1560-1613,義大利,作曲；魯特琴
"Gevaert, Fran?ois Auguste",傑瓦爾特,1828-1908,比利時,音樂學；作曲
"Ghadimi, Vincent",加迪米,1968-,比利時,作曲
"Ghedini, Giorgio",蓋地尼,1892-1965,義大利,作曲
"Gheyn, Matthias van den",蓋恩,1721-1785,比利時,管風琴；作曲
"Ghiaurov, Nicolai",紀奧羅夫,1929-2004,保加利亞,聲樂
"Giacobbe, Juan Francisco",希亞哥貝,1907-1990,阿根廷,作曲
"Giacomelli, Germiniano",賈可梅利,ca.1692-1740,義大利,作曲
"Giamalis, Nikolaos",賈馬利斯,1956-,希臘,作曲
"Gianneo, Luis",希昂內歐,1897-1968,阿根廷,作曲
"Giannini, Vittorio",姜尼尼,1903-1966,美國,作曲
"Giardini, Felice de'",賈地尼,1716-1796,義大利,小提琴；作曲
"Gibbons, Christopher","紀邦斯,克利斯朵夫",1615-1676,英國,作曲；管風琴
"Gibbons, Orlando","紀邦斯,奧蘭多",1583-1625,英國,作曲；風琴
"Gibbs, Cecil Armstrong",紀布斯,1889-1960,英國,作曲
"Gibert, Henry F.",紀伯特,1868-1928,美國,作曲
"Gibson, Alexander","紀布森,亞力山大",1926-1995,英國（蘇格蘭）,指揮
"Gibson, George Arfred","紀布森,喬治",1849-1924,英國,小提琴
"Gibsone, William Ignace","紀布森,威廉",1826-1897,英國,作曲
"Gielen, Michael",紀倫,1927-,奧地利,作曲；指揮；鋼琴
"Gieseking, Walter",紀瑟金,1895-1956,德國,鋼琴
"Gigli, Beniamino","吉利,貝尼亞米諾",1890-1957,義大利,聲樂
"Gigout, Eug?ne",吉固,1844-1925,法國,管風琴；作曲
"Gilardi, Gilardo",希拉迪,1889-1963,阿根廷,作曲
"Gilels, Emil",吉利爾斯,1916-1985,俄國,鋼琴
"Gilles, Jean",吉勒,1668-1705,法國,作曲
"Gillis, Don",紀利斯,1912-1978,美國,作曲
"Gilly, Dinh","吉利,丹",1877-1940,法國,聲樂
"Gilman, Lawrence",紀爾曼,1878-1939,美國,樂評
"Gilson, Paul",紀爾頌,1865-1942,比利時,作曲；著作
"Giltay, Berend",紀爾泰,1910-1975,荷蘭,作曲
"Gimpel, Bronislav",吉姆佩爾,1911-1979,美國,小提琴
"Ginastera, Alberto",希納斯特拉,1916-1983,阿根廷,作曲
"Gin?s P?rez (de la Parra), Juan",希內斯貝雷斯,1548-1600,西班牙,作曲
"Giordani, Giuseppe",喬大尼,1743-1798,義大利,作曲
"Giordano, Umberto",喬大諾,1867-1948,義大利,作曲
"Giovannelli, Ruggiero",喬瓦內利,ca.1560-1625,義大利,作曲
"Gipps, Ruth",紀普絲,1921-1999,英國,作曲；指揮
"Giuliani, Mauro",朱利亞尼,1781-1829,義大利,作曲；吉他
"Giulini, Carlo Maria",朱利尼,1914-2005,義大利,指揮
"Glandien, Lutz",葛蘭地恩,1954-,德國,作曲
"Glanert, Detlev",葛蘭葉特,1960-,德國,作曲
"Glanville-Hicks, Peggy",葛蘭維－希克絲,1912-1990,美國,作曲；樂評
"Glass, Louis","葛拉斯,路易",1864-1936,丹麥,作曲
"Glass, Philip","葛拉斯,菲利普",1937-,美國,作曲
"Glasser, Stanley",葛拉瑟,1926-,南非,作曲
"Glazunov, Alexander",葛拉祖諾夫,1865-1936,俄國,作曲
"Glenn, Carroll",格倫,1924-,美國,小提琴
"Glesser, Frederic",葛雷瑟,1956-,美國,作曲
"Gli?re, Reinhold (Moritzovich)",葛里耶爾,1875-1956,俄國,作曲
"Glinka, Mikhail (Ivanovich)",葛令卡,1804-1857,俄國,作曲
"Glise, Anthony",葛利斯,1956-,美國,作曲；吉他
"Globokar, Vinko",葛洛波卡,1934-,法國,作曲；長號
"Glock, William",葛洛克,1908-2000,英國,著作；鋼琴
"Glover, Jane",葛洛芙,1949-,英國,指揮；音樂學
"Gluck, Christoph Willibald",葛路克,1714-1787,德國,作曲
"Gluck, Christoph Willibald von",葛路克,1714-1787,德國,作曲
"Glyn, Gareth",葛林,1951-,英國,作曲
"Gnesin, Mikhail",葛內辛,1883-1957,俄國,作曲；音樂學
"Gnocchi, Vittorio",紐基,1876-1954,義大利,作曲
"Gobbi, Tito",哥比,1913-1984,義大利,聲樂
"God?r, Vladim?r",哥達,1956-,斯洛伐克,作曲
"Godard, Benjamin",郭大爾,1849-1895,法國,作曲；中提琴
"Goddaer, Norbert",郭代爾,1933-,比利時,作曲
"Goddard, Arabella",郭妲爾,1836-1922,法國,鋼琴
"Goddard, Philip",郭大爾德,1942-,英國,作曲
"Godefroid, P?lix",郭德福瓦,1818-1897,比利時,豎琴；作曲
"Godfrey, Daniel",郭德福瑞,1868-1939,英國,指揮
"Godin, Felix (Henry Albert)",郭丁,ca.1864-1925,英國,作曲
"Godowsky, Leopold",郭多夫斯基,1870-1938,美國,鋼琴；作曲
"Godron, Hugo",郭德隆,1900-1971,荷蘭,作曲
"Goebbels, Heiner",哥貝爾斯,1952-,德國,作曲
"Goehr, Alexander","哥爾,亞力山大",1932-,英國,作曲
"Goehr, Walter","哥爾,華爾特",1903-1960,英國,指揮；作曲
"Goethals, Lucien",哥塔爾斯,1931-,比利時,作曲
"Goetschius, Percy",蓋丘斯,1853-1943,美國,音樂理論
"Goetz, Hermann",哥茲,1840-1876,德國,作曲
"Goeyvaerts, Karel",貴華爾茲,1923-1993,比利時,作曲
"Gold, Edward",哥爾德,1936-,美國,作曲
"Goldberg, Johann Gottlieb","哥德堡,約翰",1727-1756,德國,管風琴；作曲
"Goldberg, Reuben","哥德堡,儒本",1894-1948,英國,大提琴
"Goldberg, Szymon","哥德堡,西蒙",1909-1993,美國,小提琴；指揮
"Goldkind, Elliott",哥德金德,1964-,美國,作曲
"Goldmark, Karl","哥德馬克,卡爾",1830-1915,匈牙利,作曲
"Goldmark, Rubin","哥德馬克,魯賓",1872-1936,美國,作曲
"Goldschmidt, Berthold","哥德希米特,貝陶德",1903-1996,英國,作曲；指揮
"Goldschmidt, Otto","哥德希米特,歐托",1829-1907,德國,鋼琴；作曲
"Goldsmith, Jerry",哥德史密斯,1929-2004,美國,作曲
"Goldstone, Anthony Goldschmidt",哥德斯東,1944-,英國,鋼琴
"Golestan, Stan",哥勒斯坦,1875-1956,羅馬尼亞,作曲
"Golightly, David Frederick",哥賴特里,1948-,英國,作曲
"Golijov, Osvaldo",哥利霍夫,1960-,阿根廷,作曲
"Golschmann, Vladimir",哥希曼,1893-1972,美國,指揮
"Goltermann, Georg",哥特曼,1924-1898,德國,大提琴；指揮
"Goltz, Christel",哥爾次,1912-,德國,聲樂
"Gombert, Nicolas",龔貝爾,ca.1495-1560,法國,作曲
"Gomes, Antonio Carlos",哥梅斯,1836-1896,巴西,作曲
"Gomez, Jill",哥美姿,1942-,英國,聲樂
"Gompertz, Richard",龔佩爾茲,1851-1921,德國,小提琴
"Gonz?lez Casellas, Fernando",鞏薩雷斯卡謝亞斯,1925-,阿根廷,作曲
"Goodall, Reginald",顧達爾,1905-1990,英國,指揮
"Goodman, Benny",顧德曼,1909-1986,美國,單簧管；作曲
"Goorhuis, Rob",顧爾惠斯,1948-,荷蘭,作曲
"Goossens, Eugene",顧森斯,1893-1962,英國,作曲；指揮
"Gordon, Geoffrey","郭爾敦,喬弗瑞",1968-,美國,作曲
"Gordon, Jacques","郭爾敦,賈克",1899-1948,美國,小提琴
"Gordon, Michael","郭爾敦,麥可",1956-,美國,作曲
"G?recki, Henryk",哥雷茨基,1933-,波蘭,作曲
"Gorr, Rita",高兒,1926-,比利時,聲樂
"Gosfield, Annie",高絲菲爾德,1960-,美國,作曲
"Goss, John",高斯,1800-1880,英國,管風琴；作曲
"Gossec, Fran?ois-Joseph",哥謝克,1734-1829,法國,作曲
"Gotkovsky, Ida",哥特科芙斯基,1933-,法國,作曲
"Gotovac, Jakov",哥托瓦茲,1895-1982,南斯拉夫,作曲；指揮
"Gottshalk, Louis Moreau",哥特夏克,1829-1869,美國,鋼琴；指揮；作曲
"Gould, Glenn","顧爾德,葛倫",1932-1982,加拿大,鋼琴
"Gould, Morton","顧爾德,莫爾頓",1913-1996,美國,鋼琴；指揮
"Gould, Nathaniel Duren","顧爾德,內贊尼爾",1781-1864,美國,指揮
"Gounod, Charles",古諾,1818-1893,法國,作曲
"Gow, Nathaniel",哥歐,1763-1831,英國（蘇格蘭）,小提琴；出版
"Graaff, Huba de",葛拉芙,1957-,荷蘭,作曲
"Graener, Paul",葛瑞納,1872-1944,德國,作曲
"Graetzer, Guillermo",葛瑞策,1914-1993,奧地利,作曲
"Graffman, Gary",葛拉夫曼,1928-,美國,鋼琴
"Grahn, Ulf",葛蘭,1942-,瑞典,作曲
"Grainger, Percy",葛林傑,1882-1961,美國,鋼琴；作曲
"Gram, Donald",葛拉姆,1927-1983,美國,聲樂
"Granados, Enrique",葛拉納多斯,1867-1916,西班牙,作曲；鋼琴
"Grandjany, Marcel",葛朗賈尼,1891-1975,美國,豎琴
"Graubart, Michael",葛勞巴特,1930-,奧地利,作曲
"Graun, Carl Heinrich","葛勞恩,卡爾‧海因利希",1704-1759,德國,作曲；聲樂
"Graun, Johann Gottlieb","葛勞恩,約翰‧哥特利布",1702-1771,德國,作曲
"Graupner, Christoph",葛勞普納,1683-1760,德國,作曲
"Gray, Alan","葛瑞,艾倫",1855-1935,美國,管風琴；指揮；作曲
"Gray, Cecil","葛瑞,賽西爾",1895-1951,英國（蘇格蘭）,作曲；著作
"Gray, Stephen","葛瑞,史提芬",1923-,英國,鋼琴
"Greaves, Terence",葛雷維斯,1933-,英國,作曲；鋼琴
"Greef, Arthur de",葛雷夫,1862-1940,比利時,鋼琴；作曲
"Greenbaum, Hyam",葛林保姆,1901-1942,英國,指揮；小提琴
"Greenberg, Robert",葛林貝爾格,1954-,美國,作曲
"Greene, Maurice","葛林,莫里斯",1695-1755,英國,作曲
"Greene, Plunket","葛林,普倫基特",1865-1936,愛爾蘭,聲樂
"Gregor, Bohumil",葛雷高,1926-,捷克,指揮
Gregson Edward,葛雷格森,1945-,英國,作曲
"Greindl, Josef",葛萊因德,1912-1993,德國,聲樂
"Gresnick, Antoine Fr?deric",葛雷斯尼克,1755-1799,比利時,作曲
"Gretchaninov, Alexander",葛雷查尼諾夫,1864-1956,俄國,作曲；指揮
"Gr?try, Andr? Ernest Modeste",葛雷特利,1741-1813,比利時,作曲
"Grey, Geoffrey",葛雷,1934-,英國,作曲
"Grey, Madeleine",葛蕾,1897-1979,法國,聲樂
"Grieg, Edvard",葛利格,1843-1907,挪威,作曲
"Griffes, Charles Tomlinson",葛利菲斯,1884-1920,美國,鋼琴；作曲
"Grigny, Nicolas de",葛利尼,1672-1703,法國,作曲；管風琴
"Grist, Reri",葛莉絲特,1932-,美國,聲樂
"Grof?, Ferde",葛羅菲,1892-1972,美國,作曲；鋼琴
"Grondahl, Launy",葛隆達,1886-1960,丹麥,作曲
"Gronostay, Walter",葛羅諾斯泰,1906-1937,德國,作曲
"Groot, Cor de","葛路特,格爾",1914-1993,荷蘭,作曲；鋼琴
"Groot, Jan Rokus de","葛路特,楊洛庫斯",1960-2005,荷蘭,作曲
"Grosskopf, Giovanni",葛羅斯可夫,1966-,義大利,作曲
"Grosz, Wilhelm",葛洛茲,1894-1939,奧地利,指揮；作曲
"Grout, Donald Jay",葛羅特,1902-1987,美國,音樂學
"Grove, George","葛洛夫,喬治",1820-1900,英國,音樂學
"Grove, Stefans","葛洛夫,史提凡斯",1922-,南非,作曲
"Groven, Eivind",葛洛文,1901-1977,挪威,作曲；音樂學
"Groves, Charles",葛羅夫斯,1915-1992,英國,指揮
"Grovlez, Gabriel",葛羅夫列茲,1879-1944,法國,鋼琴；指揮；作曲
"Gruber, Heinz Karl",葛魯柏,1943-,奧地利,作曲
"Gruenberg, Erich",葛倫貝格,1924-,英國,小提琴；指揮
"Gruenberg, Louis","葛倫堡,路易",1884-1964,美國,作曲
"Gruenberg, Louis",葛倫堡,1884-1964,美國,作曲
"Gruhn, Nora",葛倫,1905-,英國,聲樂
"Grumiaux, Arthur",葛呂密歐,1921-1986,比利時,小提琴
"Gr?mmer, Elisabeth",葛呂梅,1911-1986,德國,聲樂
"Grunebaum, Hermann",葛路內保,1872-1954,英國,指揮
"Gr?ner-Hegge, Odd",葛呂納－海格,1899-1973,挪威,指揮；作曲
"Guarneri, Giuseppe Antonio",瓜內里,1698-1744,義大利,小提琴製造
"Guarnieri, Camarco",瓜涅里,1907-1993,巴西,作曲；指揮
"Guastavino, Carlos",瓜斯塔維諾,1912-2000,阿根廷,作曲；鋼琴
"Gubaidulina, Sofia",古拜杜莉娜,1931-,亞塞拜然,作曲
"Gudenian, Jan Vander",古德尼安,1886-1976,俄國,小提琴
